between_spikes 546 between_spikes 546 (0.0, 1.0)
between_spikes 546 before_flare 201 (0.14914438795035809, 0.0025217656374220332)
between_spikes 546 no_spike 118 (0.17154032408269693, 0.0056824229709556348)
between_spikes 546 after_flare 193 (0.063191558010210869, 0.60573954966927446)
before_flare 201 between_spikes 546 (0.14914438795035809, 0.0025217656374220332)
before_flare 201 before_flare 201 (0.0, 1.0)
before_flare 201 no_spike 118 (0.089425752592967367, 0.57209219005053991)
before_flare 201 after_flare 193 (0.16817467068801073, 0.0065756934780122935)
no_spike 118 between_spikes 546 (0.17154032408269693, 0.0056824229709556348)
no_spike 118 before_flare 201 (0.089425752592967367, 0.57209219005053991)
no_spike 118 no_spike 118 (0.0, 1.0)
no_spike 118 after_flare 193 (0.20273118468428908, 0.0040276871244900609)
after_flare 193 between_spikes 546 (0.063191558010210869, 0.60573954966927446)
after_flare 193 before_flare 201 (0.16817467068801073, 0.0065756934780122935)
after_flare 193 no_spike 118 (0.20273118468428908, 0.0040276871244900609)
after_flare 193 after_flare 193 (0.0, 1.0)

Digested results
-------------


before_flare 201 between_spikes 546 (0.14914438795035809, 0.0025217656374220332) reject
before_flare 201 no_spike 118 (0.089425752592967367, 0.57209219005053991)

before_flare 201 after_flare 193 (0.16817467068801073, 0.0065756934780122935)  reject

after_flare 193 between_spikes 546 (0.063191558010210869, 0.60573954966927446)
after_flare 193 before_flare 201 (0.16817467068801073, 0.0065756934780122935) reject
after_flare 193 no_spike 118 (0.20273118468428908, 0.0040276871244900609) reject


between_spikes 546 before_flare 201 (0.14914438795035809, 0.0025217656374220332)
between_spikes 546 no_spike 118 (0.17154032408269693, 0.0056824229709556348)


